Vendor Code;Item No;Uom;price;Start date;end date
VE1330;82544;PACK;17528;2023-10-01;2023-12-31
VE1330;82339;KG;52000;2023-10-01;2023-12-31
VE1330;82372;KG;16750;2023-10-01;2023-12-31
VE1330;82345;KG;59000;2023-10-01;2023-12-31
VE1330;82383;PCS;480;2023-10-01;2023-12-31
VE1330;82407;PCS;2000;2023-10-01;2023-12-31
VE1330;80073;KG;49000;2023-10-01;2023-12-31
VE1330;80550;KG;18000;2023-10-01;2023-12-31
VE1330;82332;PCS;2400;2023-10-01;2023-12-31
VE1330;81412;KG;180000;2023-10-01;2023-12-31
VE1330;81625;PCS;3850;2023-10-01;2023-12-31
VE1330;82393;KG;8500;2023-10-01;2023-12-31
VE1330;80232;KG;63000;2023-10-01;2023-12-31
VE1330;82657;PCS;625;2023-10-01;2023-12-31
VE1330;80075;KG;50000;2023-10-01;2023-12-31
VE1330;80208;KG;21000;2023-10-01;2023-12-31
VE1330;82495;KG;88500;2023-10-01;2023-12-31
VE1330;82563;PACK;38333;2023-10-01;2023-12-31
VE1330;81715;KG;12000;2023-10-01;2023-12-31
VE1330;80904;KG;12500;2023-10-01;2023-12-31
VE1330;82485;PACK;1675;2023-10-01;2023-12-31
VE1330;82029;KG;22000;2023-10-01;2023-12-31
VE1330;81007;KG;10500;2023-10-01;2023-12-31
VE1330;80948;KG;57000;2023-10-01;2023-12-31
VE1330;81507;PACK;29375;2023-10-01;2023-12-31
VE1330;81541;PCS;4175;2023-10-01;2023-12-31
VE1330;82679;PCS;4175;2023-10-01;2023-12-31
VE1330;82678;PCS;4175;2023-10-01;2023-12-31
VE1330;80951;KG;15000;2023-10-01;2023-12-31
VE1330;80903;KG;43000;2023-10-01;2023-12-31
VE1330;81071;KG;7950;2023-10-01;2023-12-31
VE1330;20442;PACK;23658;2023-10-01;2023-12-31
VE1330;81410;KG;95000;2023-10-01;2023-12-31
VE1330;81411;KG;180000;2023-10-01;2023-12-31
VE1330;82535;KG;43000;2023-10-01;2023-12-31
VE1330;81649;PACK;3025;2023-10-01;2023-12-31
VE1330;80692;KG;33500;2023-10-01;2023-12-31
VE1330;81705;KG;9500;2023-10-01;2023-12-31
VE1330;82379;GLN;407445;2023-10-01;2023-12-31
VE1330;82545;PACK;7042;2023-10-01;2023-12-31
VE1330;82323;BTL;85000;2023-10-01;2023-12-31
VE1330;82641;BTL;130000;2023-10-01;2023-12-31
VE1330;80635;CANS;66200;2023-10-01;2023-12-31
VE1330;82658;PCS;500;2023-10-01;2023-12-31
VE1330;80022;KG;94000;2023-10-01;2023-12-31
VE1330;82656;PCS;1650;2023-10-01;2023-12-31
VE1330;82656;PCS;1650;2023-10-01;2023-12-31
VE1330;80753;KG;60000;2023-10-01;2023-12-31
VE1330;81321;KG;6500;2023-10-01;2023-12-31
VE1330;82562;PACK;21900;2023-10-01;2023-12-31
VE1330;80289;PACK;29517;2023-10-01;2023-12-31
VE1330;82015;KG;6000;2023-10-01;2023-12-31
VE1330;81451;KG;7000;2023-10-01;2023-12-31
VE1330;80231;KG;11500;2023-10-01;2023-12-31
VE1330;20082;KG;29375;2023-10-01;2023-12-31
VE1330;82377;KG;9000;2023-10-01;2023-12-31
VE1330;80798;KG;16000;2023-10-01;2023-12-31
VE1330;81255;PACK;6188;2023-10-01;2023-12-31
VE1330;80833;KG;18500;2023-10-01;2023-12-31
VE1330;80801;KG;24500;2023-10-01;2023-12-31
VE1330;20423;PCS;2700;2023-10-01;2023-12-31
VE1330;20423;PCS;2700;2023-10-01;2023-12-31
VE1330;80893;KG;18000;2023-10-01;2023-12-31
VE1330;82371;GLN;90314;2023-10-01;2023-12-31
VE1330;81148;KG;15000;2023-10-01;2023-12-31
VE1330;82340;KG;7000;2023-10-01;2023-12-31
VE1330;82558;PACK;11611;2023-10-01;2023-12-31
VE1330;80451;KG;25500;2023-10-01;2023-12-31
VE1330;81639;PACK;35000;2023-10-01;2023-12-31
VE1330;81898;CANS;12200;2023-10-01;2023-12-31
VE1330;81068;KG;11000;2023-10-01;2023-12-31
VE1330;82571;CANS;5050;2023-10-01;2023-12-31
VE1330;80058;CANS;18125;2023-10-01;2023-12-31
VE1330;81083;KG;21750;2023-10-01;2023-12-31
VE1330;50402;PCS;3500;2023-10-01;2023-12-31
VE1330;81414;KG;9500;2023-10-01;2023-12-31
VE1330;80301;KG;162656;2023-10-01;2023-12-31
VE1330;80254;KG;88500;2023-10-01;2023-12-31
VE1330;80074;KG;175000;2023-10-01;2023-12-31
VE1330;82402;ROLL;75000;2023-10-01;2023-12-31
VE1330;82021;KG;14500;2023-10-01;2023-12-31
VE1330;81227;PACK;23156;2023-10-01;2023-12-31
VE1330;80566;PACK;4300;2023-10-01;2023-12-31
VE1330;82584;KG;35000;2023-10-01;2023-12-31
VE1330;20419;PCS;875;2023-10-01;2023-12-31
VE1330;82309;CANS;26000;2023-10-01;2023-12-31
VE1330;82052;KG;14000;2023-10-01;2023-12-31
VE1330;82521;BAG;9500;2023-10-01;2023-12-31
VE1330;80938;KG;15000;2023-10-01;2023-12-31
VE1330;80938;KG;15000;2023-10-01;2023-12-31
VE1330;81313;CANS;32500;2023-10-01;2023-12-31
VE1330;82370;GLN;229344;2023-10-01;2023-12-31
VE1330;82676;PACK;48575;2023-10-01;2023-12-31
VE1330;50000;PCS;3500;2023-10-01;2023-12-31
VE1330;82341;PACK;1983;2023-10-01;2023-12-31
VE1330;82700;BTL;24000;2023-10-01;2023-12-31
VE1330;80133;KG;35000;2023-10-01;2023-12-31
VE1330;80563;PACK;4300;2023-10-01;2023-12-31
VE1330;81704;KG;6850;2023-10-01;2023-12-31
VE1330;80892;KG;28000;2023-10-01;2023-12-31
VE1330;81395;KG;5500;2023-10-01;2023-12-31
VE1330;82561;BTL;2383;2023-10-01;2023-12-31
VE1330;81505;PACK;15500;2023-10-01;2023-12-31
VE1330;82446;PCS;34525;2023-10-01;2023-12-31
VE1330;80564;PACK;4300;2023-10-01;2023-12-31
VE1330;80467;KG;25000;2023-10-01;2023-12-31
VE1330;82382;PACK;38086;2023-10-01;2023-12-31
VE1330;80478;KG;30000;2023-10-01;2023-12-31
VE1330;82557;KG;21850;2023-10-01;2023-12-31
